date,open,high,low,close,volume
2019101709,8051,8056.83,8021.23,8035.88,492394.56
2019101708,7975.89,8070,7975.89,8051,2971610.86
2019101707,7964.62,7987.82,7964.61,7975.89,970521.83
2019101706,7984.02,7993.97,7958.29,7964.62,1692336.84
2019101705,7941.71,7986.99,7937.01,7984.02,774064.91
2019101704,7970.19,7973.23,7937.5,7941.71,1177321.5
2019101703,7986.62,7988.54,7965.61,7970.19,805106.7
2019101702,7960,7989.62,7959.74,7986.62,743583.37
2019101701,7966.43,7977.48,7959.74,7960,1325771.25
2019101700,7993.54,7995.81,7957.55,7966.43,1584534
2019101623,8003.24,8024.17,7989.91,7993.54,3599024.34
2019101622,7980.46,8012.4,7977.42,8003.24,1950972.68
2019101621,7985,7987.84,7975.01,7980.46,1445760.32
2019101620,7954,7985,7953.99,7985,1426508.5
2019101619,7965.97,7965.98,7908.86,7954,3134085.75
2019101618,7973.14,7979.59,7962.71,7965.97,1587499.67
2019101617,7965.94,7982.7,7942.85,7973.14,2061613.22
2019101616,7950.8,8021.65,7912,7965.94,5857032.41
2019101615,7962.03,7981.51,7947.71,7950.8,4153864.12
2019101614,7998.01,7998.01,7936.64,7962.03,5627369.04
2019101613,7987.02,8001.94,7962.91,7998.01,7655783.64
2019101612,8049.38,8049.38,7928.01,7987.02,8198615.08
2019101611,8149.99,8150,8000,8049.38,5975029.99
2019101610,8142,8159.69,8141.4,8149.99,1226757.56
2019101609,8132.87,8142.76,8102.31,8142,831534.34
2019101608,8138.47,8140.04,8097.52,8132.87,1221900.55
2019101607,8158.88,8158.88,8125,8138.47,1049904.84
2019101606,8170.55,8171.5,8151.03,8158.88,911201.41
2019101605,8165.23,8170.78,8159.52,8170.55,717773.02
2019101604,8166.38,8171,8160,8165.23,774938.22
2019101603,8156,8166.38,8143.6,8166.38,1286322.61
2019101602,8171.27,8171.5,8154.4,8156,941053.53
2019101601,8167.11,8171.59,8166.98,8171.27,2099430.35
2019101600,8162.44,8168,8150.11,8167.11,1398796.61
2019101523,8136.93,8167.5,8132.5,8162.44,2620938.73
2019101522,8149.26,8155,8133.58,8136.93,1518457.68
2019101521,8139.89,8150,8115.62,8149.26,3126810.06
2019101520,8171.58,8171.58,8139.01,8139.89,3154582.99
2019101519,8172.84,8173,8160.15,8171.58,2741876.33
2019101518,8164.64,8173,8125.1,8172.84,5561280.11
2019101517,8182.52,8250,8161.01,8164.64,6097139.08
2019101516,8320,8322.07,8085.65,8182.52,14654954.98
2019101515,8259.46,8379.35,8240.4,8320,5773454.21
2019101514,8305.01,8318.87,8242,8259.46,3307459.1
2019101513,8319.74,8323.54,8296.81,8305.01,1676562.13
2019101512,8294.95,8322.5,8285.99,8319.74,784031.51
2019101511,8313.52,8313.52,8282.08,8294.95,579551.51
2019101510,8280.34,8325.08,8277.92,8313.52,545155.58
2019101509,8289.07,8300.18,8276.41,8280.34,449018.27
2019101508,8287.52,8303.76,8265.21,8289.07,1150948.31
2019101507,8304.37,8316.53,8280,8287.52,1260044.36
2019101506,8330.21,8337.96,8293.08,8304.37,1227725.16
2019101505,8329.95,8330.71,8321.29,8330.21,528814.69
2019101504,8316.92,8330,8306.95,8329.95,1324680.01
2019101503,8337.01,8338.01,8314.95,8316.92,1033549.3
2019101502,8333.22,8338,8318.46,8337.01,1161743.96
2019101501,8362,8369.78,8333.22,8333.22,1315415.17
2019101500,8355,8420,8354.99,8362,3515759.75
2019101423,8345.29,8355,8332.41,8355,1405134.34
2019101422,8319.75,8349.99,8311.94,8345.29,1002245.79
2019101421,8340,8357.5,8248.74,8319.75,3286729.31
2019101420,8336.53,8350,8332,8340,1759816.53
2019101419,8365.19,8389.95,8330.01,8336.53,1927903.19
2019101418,8338.01,8369.56,8336,8365.19,1111233.15
2019101417,8338.99,8363.34,8330,8338.01,2165487.64
2019101416,8258.49,8409,8215.66,8338.99,6601493.55
2019101415,8266.01,8281.47,8258,8258.49,1705791.89
2019101414,8290,8290,8266,8266.01,1122345.75
2019101413,8257.09,8290,8256.04,8290,1793341.36
2019101412,8294.19,8294.19,8250,8257.09,2232457.63
2019101411,8315,8315,8285.89,8294.19,843465.56
2019101410,8309.62,8325,8301,8315,783734.36
2019101409,8312.52,8330,8301,8309.62,399335.1
2019101408,8309.22,8322.79,8305.21,8312.52,362631.54
2019101407,8323.9,8325,8292,8309.22,1141473.32
2019101406,8317.98,8339.73,8310,8323.9,631641.03
2019101405,8286,8333,8281.5,8317.98,1474662.1
2019101404,8291.17,8294.98,8283.7,8286,496231.85
2019101403,8299.16,8315.33,8290.07,8291.17,1089284.14
2019101402,8294.88,8314,8288.04,8299.16,1059371.83
2019101401,8276.99,8297.77,8275.01,8294.88,1002583.28
2019101400,8282.97,8282.97,8255,8276.99,1177434.79
2019101323,8288.47,8315.93,8277.99,8282.97,1672656.49
2019101322,8251.39,8300.92,8250,8288.47,2141079.41
2019101321,8263.27,8263.27,8229.41,8251.39,1922180.33
2019101320,8446.01,8446.03,8146.47,8263.27,14470641.82
2019101319,8427.98,8446.01,8427.98,8446.01,1367519
2019101318,8430.06,8442.86,8427.85,8427.98,969380.37
2019101317,8437,8447,8425.06,8430.06,1852982.13
2019101316,8422.41,8469.02,8422.41,8437,2501022.36
2019101315,8428.02,8447.33,8407.11,8422.41,1492924.65
2019101314,8432.52,8439.97,8390.36,8428.02,1908191.17
2019101313,8415.43,8456,8405,8432.52,2042994.52
2019101312,8369.97,8449,8367.28,8415.43,2233979.28
2019101311,8342.71,8398.18,8341.53,8369.97,1239379.62
2019101310,8348.16,8360,8342.7,8342.71,153710.84
2019101309,8350.2,8362.37,8333.55,8348.16,327827.65
2019101308,8333.45,8358.87,8328.01,8350.2,218568.33
2019101307,8316.55,8349.6,8313.17,8333.45,270777.08
2019101306,8334.2,8334.2,8308.5,8316.55,2013145.99
2019101305,8343.65,8343.65,8319.67,8334.2,918876.26
2019101304,8344.95,8360,8340,8343.65,755492.3
2019101303,8343.49,8347.5,8332.46,8344.95,680417
2019101302,8350.48,8360,8335,8343.49,594885.53
2019101301,8335.72,8368.26,8332.42,8350.48,1366317.42
2019101300,8309.03,8348.64,8289,8335.72,2377376.76
2019101223,8334.49,8342.83,8305.51,8309.03,922965.01
2019101222,8340,8350,8332.53,8334.49,951145.39
2019101221,8346.35,8346.91,8323.65,8340,1296655.44
2019101220,8316,8349.99,8315.99,8346.35,788236.44
2019101219,8318.01,8332.98,8296.45,8316,1480010.1
2019101218,8332.09,8339.65,8292.56,8318.01,1491364.24
2019101217,8342.96,8355.77,8330.84,8332.09,1005861.6
2019101216,8387.63,8407,8336.31,8342.96,1459097.29
2019101215,8396.05,8405,8366.09,8387.63,1470740.73
2019101214,8339.88,8425,8317.65,8396.05,3404305.55
2019101213,8347.86,8350,8325.91,8339.88,978246.92
2019101212,8327.5,8349.85,8319.01,8347.86,551145.89
2019101211,8322.08,8348,8312.01,8327.5,1086382.66
2019101210,8350.64,8350.64,8301.5,8322.08,546527.12
2019101209,8355.44,8375.05,8350.63,8350.64,505799.74
2019101208,8348.24,8356.04,8338.71,8355.44,242286.01
2019101207,8352.12,8357.01,8336.37,8348.24,429694.88
2019101206,8344.26,8364,8343.51,8352.12,717923.54
2019101205,8325.08,8363.11,8320.3,8344.26,1026786.54
2019101204,8317.39,8336.89,8315.31,8325.08,557534.86
2019101203,8309.92,8327.25,8305.25,8317.39,726931.01
2019101202,8315.96,8334.73,8307.15,8309.92,781986.92
2019101201,8281.57,8332,8270.53,8315.96,859644.35
2019101200,8267.33,8313.92,8261.46,8281.57,1742312.68
2019101123,8320.03,8324,8226,8267.33,3359185.11
2019101122,8323.14,8349.98,8320,8320.03,1166471.4
2019101121,8341.96,8343.52,8305,8323.14,3368667.82
2019101120,8349.99,8370,8328.31,8341.96,1871121.37
2019101119,8320.33,8350,8316,8349.99,1255554.96
2019101118,8339.02,8355.69,8307.56,8320.33,1987684.56
2019101117,8345.71,8370.97,8330,8339.02,2421318.43
2019101116,8351.99,8355.01,8287.1,8345.71,5949076.09
2019101115,8322.77,8354.99,8296.5,8351.99,2827678.83
2019101114,8354.01,8354.01,8294.46,8322.77,5061126.03
2019101113,8345,8364.8,8333.33,8354.01,1995007.59
2019101112,8310,8359.86,8284.82,8345,2823104.92
2019101111,8372.22,8374.96,8286,8310,4555309.98
2019101110,8351.23,8383,8350.07,8372.22,2085811.93
2019101109,8362.22,8383,8347,8351.23,1789025.43
2019101108,8396.2,8396.2,8301,8362.22,5694320.36
2019101107,8435,8444.98,8389.33,8396.2,2412725.89
2019101106,8444.99,8444.99,8383.28,8435,3439746.17
2019101105,8729.56,8826,8366.72,8444.99,24273728.63
2019101104,8579.99,8757.24,8565,8729.56,12538813.05
2019101103,8544.59,8582.56,8530.94,8579.99,2386777.21
2019101102,8549.35,8558.49,8530,8544.59,1499082.09
2019101101,8534.69,8550,8512,8549.35,1655610.59
